Open,High,Low,Close,Adj Close,Volume
1.737143,1.820000,1.730714,1.781429,1.781429,11293800
1.792857,1.802857,1.755000,1.785000,1.785000,5117000
1.792857,1.795000,1.742143,1.775000,1.775000,6335000
1.792143,1.855714,1.760000,1.845714,1.845714,8705200
1.836429,2.061429,1.836429,1.980000,1.980000,29337000
2.017857,2.122857,2.016429,2.060000,2.060000,19553800
2.069286,2.097857,2.035714,2.057143,2.057143,8395800
2.036429,2.047143,1.946429,2.005000,2.005000,6892200
1.992857,2.153571,1.957143,2.127857,2.127857,13178200
2.142857,2.364286,2.137143,2.312143,2.312143,33322800
2.355714,2.357143,2.189286,2.260000,2.260000,13720000
2.249286,2.412857,2.232143,2.380714,2.380714,11130000
2.373571,2.477857,2.314286,2.403571,2.403571,27102600
2.465714,2.531429,2.354286,2.378571,2.378571,23833600
2.371429,2.414286,2.342857,2.392143,2.392143,8240400
2.378571,2.521429,2.378571,2.467857,2.467857,20844600
2.444286,2.535714,2.428571,2.480000,2.480000,16699200
2.475714,2.609286,2.473571,2.536429,2.536429,10875200
2.521429,2.590714,2.400000,2.422143,2.422143,10642800
2.428571,2.446429,2.290714,2.347857,2.347857,17785600
2.339286,2.482857,2.321429,2.469286,2.469286,16142000
2.482143,2.581429,2.460714,2.536429,2.536429,17876600
2.646429,2.673571,2.546429,2.564286,2.564286,21684600
2.585714,2.640714,2.530714,2.553571,2.553571,11204200
2.585714,2.630000,2.542857,2.610000,2.610000,12215000
2.607143,2.685714,2.556429,2.642857,2.642857,9605400
2.604286,2.874286,2.595000,2.770714,2.770714,22540000
2.796429,2.821429,2.726429,2.795000,2.795000,10446800
2.805714,2.809286,2.706429,2.714286,2.714286,7385000
2.706429,2.746429,2.410000,2.486429,2.486429,20911800
2.435714,2.552143,2.380714,2.392143,2.392143,12187000
2.322143,2.417857,2.172857,2.391429,2.391429,40265400
2.413571,2.579286,2.360714,2.397143,2.397143,20711600
2.385714,2.535000,2.385714,2.465000,2.465000,13876800
2.688571,2.971429,2.571429,2.926429,2.926429,73129000
2.939286,2.958571,2.824286,2.867857,2.867857,36274000
2.858571,3.045000,2.810714,2.954286,2.954286,18425400
2.957857,3.192857,2.925714,3.146429,3.146429,21939400
3.198571,3.206429,3.003571,3.071429,3.071429,22066800
3.074286,3.228571,3.055000,3.076429,3.076429,18671800
3.107143,3.204286,3.092857,3.189286,3.189286,10221400
3.171429,3.346429,3.164286,3.345000,3.345000,21089600
3.368571,3.460714,3.275000,3.372857,3.372857,24176600
3.385000,3.428571,3.174286,3.192857,3.192857,16424800
3.248571,3.825714,3.237143,3.703571,3.703571,125825000
3.675000,3.791429,3.535714,3.723571,3.723571,38456600
3.633571,4.017857,3.604286,3.910000,3.910000,60559800
3.946429,4.000000,3.824286,3.892857,3.892857,35361200
3.792857,3.882143,3.725000,3.746429,3.746429,22733200
3.657857,3.815714,3.578571,3.723571,3.723571,23143400
3.750000,3.817857,3.621429,3.713571,3.713571,21513800
3.688571,3.844286,3.681429,3.839286,3.839286,15517600
3.903571,4.034286,3.871429,4.034286,4.034286,21884800
4.107143,4.235714,4.064286,4.218571,4.218571,27333600
4.310000,4.357143,4.128571,4.165000,4.165000,26913600
4.202857,4.210714,4.037143,4.092857,4.092857,16017400
4.099286,4.214286,4.085714,4.175000,4.175000,14712600
4.146429,4.325000,4.131429,4.257143,4.257143,15635200
4.232143,4.285000,4.139286,4.194286,4.194286,17277400
3.942857,4.048571,3.573571,3.630714,3.630714,109594800
3.654286,3.775000,3.301429,3.348571,3.348571,103054000
3.347857,3.426429,3.282143,3.328571,3.328571,48512800
3.350714,3.425000,3.282143,3.359286,3.359286,26290600
3.357143,3.606429,3.325714,3.588571,3.588571,34353200
3.627857,3.628571,3.442857,3.464286,3.464286,23836400
3.456429,3.532857,3.325000,3.340714,3.340714,18921000
3.310714,3.313571,3.155714,3.190000,3.190000,31721200
3.228571,3.400000,3.195000,3.326429,3.326429,39229400
3.328571,3.422857,3.257143,3.317143,3.317143,23123800
3.179286,3.364286,3.157143,3.254286,3.254286,29468600
3.317857,3.357143,3.230000,3.260714,3.260714,22040200
3.243571,3.357143,3.243571,3.342857,3.342857,13987400
3.367857,3.492857,3.354286,3.429286,3.429286,16927400
3.447143,3.525000,3.405000,3.450714,3.450714,14039200
3.452143,3.507857,3.428571,3.500000,3.500000,5108600
3.530000,3.642857,3.513571,3.621429,3.621429,18172000
3.603571,3.701429,3.571429,3.635714,3.635714,15824200
3.675000,3.732857,3.539286,3.555000,3.555000,18349800
3.570714,3.617857,3.332857,3.431429,3.431429,28826000
3.403571,3.462857,3.335000,3.390714,3.390714,12567800
3.375000,3.462143,3.256429,3.372143,3.372143,20157200
3.399286,3.417857,3.236429,3.245714,3.245714,14681800
